nama, latitude, longitude
Kab. Bogor, -6.5984625683413665, 106.81402618292327
Kab. Sukabumi, -6.846375619503923, 106.95930901791425
Kab. Cianjur, -6.813331952180541, 107.1523439741557
Kab. Bandung, -7.0919761210773995, 107.54990054201738
Kab. garut, -7.21951876948485, 107.90235650069805
Kab. Tasikmalaya, -7.349799741787023, 108.2209404929462
Kab. Ciamis, -7.328907470416129, 108.3374808386017
Kab. Kuningan, -6.981049975374406, 108.49699166295746
Kab. Cirebon, -6.761398596904435, 108.4997601832019
Kab. Majalengka, -6.837074273859857, 108.23592495406527
Kab. Sumedang, -6.838509577323499, 107.92729909980848
Kab. Indramayu, -6.345550771229053, 108.31058696553418
Kab. Subang, -6.563534573940408, 107.754495885305
Kab. Purwakarta, -6.539845572540323, 107.43738151041114
Kab. Karawang, -6.298979045087656, 107.29112741883038
Kab. Bekasi, -6.368015531512339, 107.16597609023933
Kab. Bandung Barat, -6.8759232636071745, 107.41988382971708
Kab. Pangandaran, -7.681258324391343, 108.64937187405353
Kota Bogor, -6.595868840517343, 106.8032172116702
Kota Sukabumi, -6.928321402568878, 106.92966846226379
Kota Bandung, -6.916299683199314, 107.61488424797888
Kota Cirebon, -6.732120891341557, 108.55300787500046
Kota Bekasi, -6.239922882033946, 106.9759590450541
Kota Depok, -6.400465918649497, 106.79135720853428
Kota Cimahi, -6.884638037651036, 107.54103549267761
Kota Tasikmalaya, -7.350352199803787, 108.21752208895504
Kota Banjar, -7.37162945295553, 108.53534488789602